Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
2023-07-21,S005,P0014,Toys,West,130,118,131,110.89,92.88,10,Cloudy,1,88.31,Summer
2022-08-30,S005,P0012,Toys,West,394,376,127,377.19,90.08,15,Sunny,0,86.06,Summer
2023-12-12,S005,P0016,Toys,East,178,60,162,77.79,19.43,20,Snowy,0,24.27,Spring
2022-03-30,S005,P0010,Toys,North,345,108,75,112.55,40.33,15,Cloudy,1,35.81,Summer
2023-12-18,S005,P0015,Toys,West,204,6,179,23.76,55.59,5,Snowy,1,60.54,Autumn
2023-12-05,S005,P0005,Toys,East,240,166,102,169.96,27.42,20,Sunny,1,31.14,Spring
2023-12-18,S005,P0003,Toys,North,403,29,41,41.76,39.58,5,Cloudy,1,41.36,Autumn
2022-03-07,S005,P0020,Toys,West,463,172,91,177.68,60.8,5,Rainy,1,59.12,Winter
2023-11-10,S005,P0018,Toys,North,116,87,100,106.18,44.07,20,Snowy,1,42.19,Winter
2022-10-20,S005,P0004,Toys,North,71,13,117,16.91,35.36,5,Cloudy,1,39.81,Autumn
2023-08-09,S005,P0018,Toys,North,343,256,38,261.71,46.96,10,Snowy,1,47.16,Winter
2023-08-13,S005,P0013,Toys,South,141,91,22,101.43,20.14,5,Snowy,1,15.92,Autumn
2023-01-17,S005,P0013,Toys,North,194,106,60,110.02,31.12,10,Rainy,1,34.34,Spring
2023-08-13,S005,P0019,Toys,South,167,76,196,91.8,14.85,10,Sunny,1,19.5,Spring
2023-06-16,S005,P0010,Toys,South,287,220,148,217.1,92.52,0,Cloudy,1,87.53,Spring
2022-12-26,S005,P0012,Toys,North,251,74,195,66.0,61.95,10,Rainy,0,66.91,Spring
2023-08-23,S005,P0002,Toys,South,219,115,22,117.35,26.33,5,Snowy,1,30.85,Winter
2023-10-27,S005,P0002,Toys,North,64,47,88,53.31,77.4,20,Rainy,0,77.79,Summer
2023-09-27,S005,P0019,Toys,North,168,103,190,105.49,72.15,10,Cloudy,0,74.69,Summer
2022-04-23,S005,P0008,Toys,East,157,54,188,55.29,62.99,20,Cloudy,0,58.43,Autumn
2022-04-24,S005,P0014,Toys,North,258,45,132,64.91,90.15,15,Snowy,0,85.97,Summer
2023-07-01,S005,P0015,Toys,West,163,116,90,110.16,10.76,10,Snowy,1,14.27,Winter
2022-08-04,S005,P0020,Toys,South,175,120,56,131.88,65.47,0,Snowy,0,68.99,Spring
2022-04-06,S005,P0019,Toys,West,275,14,63,13.97,14.04,10,Rainy,1,11.96,Winter
2022-08-14,S005,P0018,Toys,South,224,207,158,217.48,10.86,10,Cloudy,1,9.21,Autumn
2023-03-25,S005,P0002,Toys,South,429,30,82,42.32,62.38,0,Sunny,1,61.64,Summer
2023-01-15,S005,P0010,Toys,East,247,185,175,195.24,48.61,0,Snowy,0,50.93,Spring
2022-12-08,S005,P0007,Toys,West,210,196,175,190.37,97.72,5,Cloudy,0,94.13,Winter
2022-12-02,S005,P0009,Toys,North,143,57,43,62.76,22.33,20,Cloudy,0,21.43,Summer
2022-08-02,S005,P0003,Toys,West,402,320,178,325.14,59.44,5,Rainy,0,55.18,Autumn
2022-06-13,S005,P0019,Toys,North,362,39,146,57.16,41.22,5,Cloudy,1,41.07,Spring
2022-10-28,S005,P0011,Toys,North,391,281,124,290.77,31.16,15,Rainy,1,31.29,Winter
2023-08-04,S005,P0009,Toys,North,139,86,146,80.55,58.33,0,Cloudy,1,57.71,Winter
2023-08-01,S005,P0019,Toys,South,101,43,51,42.81,58.65,5,Rainy,1,59.82,Winter
2023-07-16,S005,P0012,Toys,North,500,119,160,132.58,79.21,0,Sunny,1,78.62,Spring
2022-10-14,S005,P0017,Toys,South,324,12,185,11.35,88.67,15,Snowy,1,92.43,Spring
2022-05-12,S005,P0001,Toys,West,369,25,77,21.75,21.29,5,Rainy,0,16.71,Winter
2022-11-02,S005,P0014,Toys,West,174,26,66,38.34,14.38,10,Snowy,1,9.65,Autumn
2023-10-16,S005,P0003,Toys,South,340,215,77,225.18,56.24,20,Snowy,0,57.23,Spring
2023-06-19,S005,P0010,Toys,West,328,36,51,37.64,21.52,15,Sunny,1,16.71,Autumn
2023-01-31,S005,P0010,Toys,East,239,116,86,111.64,64.28,0,Rainy,0,68.79,Summer
2023-08-16,S005,P0010,Toys,West,410,64,97,73.65,56.1,15,Sunny,1,55.84,Winter
2022-07-19,S005,P0001,Toys,East,205,198,40,215.18,97.4,20,Sunny,0,96.51,Spring
2023-02-23,S005,P0018,Toys,South,235,222,67,216.82,58.28,20,Rainy,0,55.56,Autumn
2023-04-04,S005,P0008,Toys,East,464,335,97,353.54,57.91,20,Sunny,0,53.19,Spring
2023-12-09,S005,P0002,Toys,East,110,70,96,63.25,17.04,20,Rainy,1,12.76,Winter
2022-09-20,S005,P0020,Toys,South,307,106,178,114.49,24.96,5,Cloudy,1,22.62,Autumn
2022-09-03,S005,P0015,Toys,West,414,112,104,104.4,36.2,20,Rainy,1,34.05,Summer
2023-08-16,S005,P0005,Toys,North,149,148,141,142.58,76.89,5,Rainy,1,75.86,Winter
2023-03-21,S005,P0012,Toys,East,120,43,148,40.32,86.44,15,Snowy,1,88.9,Autumn
2023-06-12,S005,P0007,Toys,East,478,62,117,71.4,36.66,5,Snowy,0,38.81,Winter
2022-04-18,S005,P0015,Toys,West,375,226,173,236.84,38.71,15,Sunny,0,34.62,Summer
2023-12-05,S005,P0015,Toys,North,417,64,20,62.57,14.92,20,Rainy,1,17.17,Autumn
2022-03-02,S005,P0017,Toys,South,163,65,50,73.08,54.42,20,Cloudy,0,56.54,Winter
2022-12-22,S005,P0006,Toys,South,421,74,37,80.6,31.4,10,Sunny,1,28.45,Spring
2022-01-28,S005,P0015,Toys,North,465,90,142,85.66,74.35,5,Rainy,0,76.29,Summer
2023-12-10,S005,P0016,Toys,West,236,192,106,182.4,98.05,15,Snowy,0,97.18,Spring
2022-02-11,S005,P0005,Toys,East,465,75,140,68.96,23.61,5,Snowy,0,25.84,Spring
2022-03-13,S005,P0004,Toys,West,436,222,63,239.24,61.77,10,Rainy,0,60.1,Autumn
2022-03-06,S005,P0017,Toys,East,165,57,176,75.66,56.29,15,Cloudy,1,51.82,Summer
2023-04-22,S005,P0017,Toys,West,152,109,190,108.68,84.93,5,Rainy,0,81.81,Autumn
2023-03-15,S005,P0003,Toys,South,86,27,61,44.46,86.64,20,Rainy,1,85.97,Summer
2022-11-10,S005,P0004,Toys,South,259,72,112,91.34,26.57,20,Rainy,0,24.37,Autumn
2023-07-24,S005,P0020,Toys,North,391,352,199,348.84,11.84,15,Snowy,0,16.13,Winter
2023-11-25,S005,P0017,Toys,North,165,136,142,141.37,75.2,20,Sunny,0,70.22,Winter
2023-01-18,S005,P0011,Toys,North,435,105,85,108.32,81.66,0,Cloudy,0,80.24,Summer
2022-12-03,S005,P0008,Toys,West,71,8,160,6.73,94.68,0,Snowy,1,98.08,Winter
2023-07-25,S005,P0012,Toys,West,117,53,122,72.58,67.7,0,Cloudy,0,68.95,Autumn
2023-01-18,S005,P0016,Toys,North,117,47,193,60.32,38.91,0,Sunny,1,35.48,Summer
2022-07-17,S005,P0002,Toys,West,128,38,83,44.69,10.08,15,Snowy,0,5.44,Winter
2023-03-02,S005,P0008,Toys,North,118,40,80,45.86,58.22,5,Snowy,1,55.4,Autumn
2023-09-11,S005,P0017,Toys,West,189,63,37,55.15,67.98,20,Cloudy,0,66.83,Spring
2023-01-05,S005,P0015,Toys,South,209,86,88,93.46,55.16,10,Sunny,0,50.47,Autumn
2023-08-20,S005,P0014,Toys,North,123,25,20,37.4,28.06,0,Cloudy,1,28.05,Autumn
2022-04-24,S005,P0013,Toys,North,429,337,40,335.79,92.15,0,Sunny,1,87.74,Summer
2022-10-11,S005,P0019,Toys,North,445,134,79,129.42,22.37,5,Rainy,0,21.61,Spring
2022-12-14,S005,P0014,Toys,East,419,418,52,413.79,74.1,0,Cloudy,1,75.03,Winter
2022-02-09,S005,P0017,Toys,West,497,484,91,480.11,49.61,15,Rainy,0,48.16,Winter
2023-04-09,S005,P0015,Toys,South,196,154,32,166.79,79.65,20,Sunny,0,75.9,Autumn
2022-10-21,S005,P0009,Toys,North,393,347,98,340.2,43.04,20,Sunny,0,45.71,Winter
2022-06-13,S005,P0011,Toys,North,211,170,157,166.68,92.1,5,Snowy,0,87.61,Summer
2023-10-28,S005,P0010,Toys,South,296,63,70,72.19,89.14,0,Sunny,0,90.21,Winter
2022-12-07,S005,P0004,Toys,South,417,331,95,341.42,23.57,20,Sunny,1,20.03,Summer
2022-03-03,S005,P0001,Toys,South,286,124,40,127.61,49.83,20,Snowy,1,48.9,Spring
2022-10-08,S005,P0018,Toys,North,222,111,21,106.91,70.1,0,Rainy,0,71.03,Spring
2023-05-29,S005,P0011,Toys,East,118,88,38,89.74,35.3,10,Sunny,0,36.64,Spring
2023-04-23,S005,P0005,Toys,East,454,141,164,134.38,60.89,5,Rainy,1,56.23,Spring
2022-01-25,S005,P0017,Toys,West,428,43,147,44.84,83.5,5,Cloudy,0,88.46,Autumn
2022-03-20,S005,P0005,Toys,East,356,228,128,222.23,94.45,15,Snowy,1,90.25,Summer
2023-02-03,S005,P0003,Toys,North,430,222,119,226.59,13.24,20,Rainy,0,13.44,Spring
2023-10-14,S005,P0012,Toys,South,443,32,152,49.13,61.87,10,Rainy,0,60.8,Summer
2022-11-28,S005,P0018,Toys,South,170,47,79,63.79,22.95,10,Rainy,0,18.78,Autumn
2022-11-03,S005,P0009,Toys,North,184,178,64,189.38,66.88,5,Rainy,0,68.9,Winter
2022-03-08,S005,P0008,Toys,East,123,28,58,32.76,57.66,10,Rainy,1,62.48,Spring
2023-08-20,S005,P0018,Toys,South,58,56,25,75.32,68.83,20,Sunny,0,69.96,Summer
2023-02-01,S005,P0016,Toys,North,439,180,96,173.8,59.6,0,Snowy,0,61.39,Spring
2022-02-18,S005,P0005,Toys,East,239,88,116,97.38,82.12,10,Cloudy,1,79.45,Winter
2023-03-07,S005,P0018,Toys,East,329,274,181,271.14,73.01,15,Cloudy,0,71.42,Summer
2022-08-24,S005,P0011,Toys,East,487,169,69,173.05,23.59,20,Snowy,1,26.68,Autumn
2023-02-27,S005,P0003,Toys,West,441,290,44,309.05,83.83,0,Rainy,1,86.69,Autumn
2022-02-15,S005,P0009,Toys,North,386,98,154,112.18,88.43,0,Sunny,1,92.81,Autumn
2023-07-23,S005,P0006,Toys,West,260,102,22,116.0,59.61,5,Snowy,1,61.26,Summer
2022-03-26,S005,P0009,Toys,South,295,214,68,229.1,75.79,10,Rainy,0,77.12,Winter
2023-03-09,S005,P0005,Toys,East,465,64,92,60.91,77.33,20,Snowy,1,78.82,Winter
2023-06-14,S005,P0017,Toys,North,362,346,31,336.07,17.04,0,Cloudy,0,18.54,Winter
2023-04-08,S005,P0020,Toys,East,246,7,73,5.69,61.46,5,Sunny,0,59.57,Spring
2022-06-09,S005,P0012,Toys,South,233,45,108,50.79,78.43,15,Rainy,1,76.12,Autumn
2022-04-28,S005,P0020,Toys,North,71,68,171,59.22,32.9,15,Cloudy,0,36.8,Spring
2023-10-16,S005,P0006,Toys,East,226,115,159,124.34,39.51,0,Snowy,0,41.09,Spring
2022-07-25,S005,P0004,Toys,South,315,202,67,206.97,17.96,10,Cloudy,1,18.63,Spring
2023-08-19,S005,P0001,Toys,East,416,304,152,301.72,20.64,20,Sunny,1,20.45,Winter
2023-05-09,S005,P0020,Toys,West,340,128,137,128.04,41.79,10,Cloudy,0,43.33,Autumn
2022-10-03,S005,P0008,Toys,East,303,27,94,27.89,80.22,10,Rainy,0,76.11,Autumn
2023-11-24,S005,P0015,Toys,North,143,39,45,36.1,64.51,5,Snowy,0,60.8,Winter
2023-08-15,S005,P0012,Toys,East,370,77,133,84.07,55.69,20,Sunny,1,57.28,Winter
2023-02-19,S005,P0019,Toys,South,316,225,59,224.84,96.77,20,Cloudy,0,94.94,Spring
2022-08-20,S005,P0018,Toys,West,178,40,63,45.07,24.27,0,Snowy,0,25.26,Summer
2022-07-13,S005,P0015,Toys,South,167,22,43,38.77,29.28,5,Snowy,0,31.03,Winter
2023-04-09,S005,P0009,Toys,West,381,350,85,353.55,88.75,10,Cloudy,1,89.25,Winter
2023-08-16,S005,P0004,Toys,East,130,42,128,57.65,82.98,5,Sunny,1,78.22,Winter
2023-06-05,S005,P0010,Toys,West,243,16,184,15.2,83.92,10,Snowy,1,88.83,Winter
2022-08-26,S005,P0006,Toys,South,369,91,175,83.58,53.48,15,Sunny,1,56.75,Spring
2022-03-05,S005,P0019,Toys,East,467,19,99,21.27,67.15,0,Cloudy,1,67.69,Winter
2022-07-14,S005,P0006,Toys,East,362,168,64,169.96,56.58,5,Rainy,1,56.3,Summer
2022-10-02,S005,P0001,Toys,South,118,26,147,41.25,23.88,0,Snowy,0,25.39,Summer
2023-10-27,S005,P0020,Toys,East,428,52,148,55.7,99.19,20,Cloudy,1,102.31,Summer
2023-06-07,S005,P0013,Toys,South,404,139,76,130.3,21.79,0,Rainy,1,20.37,Winter
2022-03-27,S005,P0020,Toys,South,414,236,62,243.28,67.89,20,Rainy,0,63.84,Summer
2022-09-12,S005,P0009,Toys,South,487,254,146,266.15,43.63,10,Sunny,1,45.4,Winter
2023-08-20,S005,P0017,Toys,East,233,20,63,38.28,85.67,0,Snowy,0,83.55,Spring
2023-07-15,S005,P0014,Toys,East,453,175,109,190.7,32.15,5,Rainy,0,29.89,Winter
2022-06-08,S005,P0002,Toys,East,422,210,76,213.44,43.24,15,Snowy,1,38.78,Autumn
2023-11-02,S005,P0014,Toys,South,191,170,50,166.49,34.81,5,Sunny,0,37.72,Winter
2023-07-29,S005,P0015,Toys,North,419,310,94,311.29,55.8,15,Rainy,0,57.46,Spring
2023-10-02,S005,P0019,Toys,West,406,125,99,142.46,32.51,0,Sunny,0,28.6,Winter
2023-09-24,S005,P0013,Toys,West,332,252,43,258.48,91.96,20,Sunny,1,88.68,Spring
2022-08-29,S005,P0015,Toys,East,475,248,188,257.48,35.52,20,Cloudy,1,38.17,Autumn
2023-11-27,S005,P0012,Toys,South,478,291,123,283.37,43.09,20,Cloudy,0,47.56,Winter
2023-05-10,S005,P0007,Toys,West,157,14,200,27.29,96.72,5,Sunny,1,101.14,Summer
2023-04-09,S005,P0008,Toys,West,61,42,189,59.59,11.13,10,Sunny,1,11.8,Autumn
2022-04-21,S005,P0007,Toys,North,380,371,41,375.34,10.81,10,Sunny,1,11.16,Winter
2022-05-29,S005,P0014,Toys,South,207,202,72,199.08,76.81,5,Snowy,0,75.05,Spring
2023-01-05,S005,P0008,Toys,East,183,5,168,3.88,53.46,0,Rainy,0,55.42,Autumn
2022-09-19,S005,P0018,Toys,North,121,109,43,114.74,64.42,15,Cloudy,0,67.42,Summer
2022-09-19,S005,P0005,Toys,East,439,236,58,226.19,78.01,20,Rainy,1,74.15,Summer
2022-10-02,S005,P0006,Toys,North,66,46,21,57.89,10.2,15,Snowy,0,10.63,Spring
2023-01-12,S005,P0007,Toys,South,439,283,86,275.98,88.96,15,Sunny,0,88.89,Winter
2023-10-07,S005,P0006,Toys,North,200,62,177,73.22,57.19,10,Rainy,0,58.38,Spring
2022-05-13,S005,P0002,Toys,North,475,334,73,329.09,90.44,10,Snowy,1,89.63,Autumn
2023-03-07,S005,P0006,Toys,North,345,212,128,216.85,37.8,20,Rainy,1,33.65,Spring
2022-07-28,S005,P0007,Toys,East,201,189,141,202.7,81.79,20,Sunny,0,83.61,Summer
2022-03-09,S005,P0006,Toys,South,389,69,187,65.0,20.34,0,Sunny,0,16.42,Summer
2023-07-20,S005,P0005,Toys,South,195,135,140,139.22,18.13,15,Rainy,0,14.56,Winter
2023-09-13,S005,P0013,Toys,West,418,194,154,198.06,42.45,0,Snowy,1,47.1,Summer
2022-03-29,S005,P0001,Toys,East,435,372,46,388.25,78.51,5,Cloudy,1,80.37,Winter
2022-02-21,S005,P0003,Toys,West,470,232,141,230.88,84.68,10,Cloudy,1,81.79,Summer
2022-09-14,S005,P0006,Toys,East,111,29,103,35.63,78.21,0,Cloudy,1,82.81,Autumn
2023-01-25,S005,P0009,Toys,North,108,5,160,11.66,82.77,0,Sunny,0,81.92,Winter
2022-10-27,S005,P0020,Toys,North,435,117,155,112.79,14.07,15,Cloudy,1,14.85,Spring
2023-07-23,S005,P0016,Toys,West,315,299,25,301.38,32.56,0,Sunny,0,33.46,Summer
2023-10-20,S005,P0006,Toys,East,183,88,138,83.53,12.89,5,Sunny,1,10.56,Winter
2023-06-07,S005,P0001,Toys,West,302,226,151,240.88,54.8,5,Snowy,1,56.62,Summer
2022-12-31,S005,P0006,Toys,East,462,47,54,64.16,24.0,20,Snowy,1,20.48,Spring
2022-01-13,S005,P0003,Toys,West,233,73,104,76.77,86.92,5,Sunny,0,85.88,Summer
2023-12-19,S005,P0005,Toys,South,58,57,187,47.84,88.43,5,Snowy,0,85.09,Winter
2023-06-24,S005,P0006,Toys,West,159,33,83,39.1,96.05,5,Sunny,0,97.0,Winter
2022-05-16,S005,P0016,Toys,South,359,308,24,313.46,17.46,5,Sunny,0,19.47,Summer
2023-05-09,S005,P0006,Toys,North,208,174,90,173.64,54.14,10,Rainy,1,52.8,Spring
2022-03-01,S005,P0004,Toys,South,77,47,124,39.7,44.91,20,Rainy,1,48.12,Summer
2023-09-07,S005,P0017,Toys,East,441,226,187,242.67,39.67,20,Sunny,0,42.27,Spring
2023-02-22,S005,P0020,Toys,West,297,152,31,156.36,14.66,5,Cloudy,0,14.24,Winter
2022-07-27,S005,P0001,Toys,North,449,123,49,116.19,29.64,20,Rainy,0,26.58,Autumn
2023-05-24,S005,P0010,Toys,West,102,65,131,82.65,34.05,10,Sunny,0,32.2,Autumn
2022-10-27,S005,P0019,Toys,East,456,1,102,1.43,92.28,15,Rainy,1,96.87,Summer
2023-06-27,S005,P0012,Toys,West,233,203,189,202.77,57.95,10,Rainy,0,53.88,Autumn
2023-11-16,S005,P0005,Toys,West,339,310,39,304.59,37.5,10,Rainy,0,35.97,Autumn
2022-07-30,S005,P0003,Toys,West,203,6,183,14.44,33.88,15,Snowy,0,34.82,Spring
2023-12-12,S005,P0020,Toys,North,447,447,80,463.64,97.81,15,Cloudy,1,102.77,Autumn
2022-06-21,S005,P0013,Toys,North,157,97,182,103.54,69.1,5,Cloudy,1,70.05,Spring
2022-04-15,S005,P0011,Toys,North,287,194,62,188.69,96.46,10,Sunny,0,101.2,Spring
2022-01-16,S005,P0008,Toys,East,447,168,23,179.89,10.39,15,Cloudy,0,8.03,Winter
2023-09-10,S005,P0014,Toys,South,352,78,58,93.94,74.59,20,Rainy,1,78.6,Winter
2023-09-12,S005,P0005,Toys,West,316,159,48,159.4,72.17,5,Sunny,1,74.92,Summer
2023-02-14,S005,P0014,Toys,South,428,22,83,21.13,45.7,0,Rainy,1,43.66,Autumn
2023-07-27,S005,P0006,Toys,West,320,10,186,25.97,87.94,20,Rainy,0,83.32,Autumn
2023-05-03,S005,P0014,Toys,West,112,76,59,76.82,85.0,0,Cloudy,1,83.43,Autumn
2023-09-23,S005,P0003,Toys,North,463,415,85,419.01,18.78,0,Cloudy,0,23.58,Winter
2023-02-05,S005,P0017,Toys,East,123,113,143,110.73,80.93,10,Sunny,0,79.17,Spring
2023-09-01,S005,P0018,Toys,West,126,101,139,95.59,33.9,5,Rainy,1,30.07,Winter
2022-05-31,S005,P0005,Toys,East,220,14,155,24.8,57.15,0,Sunny,0,61.19,Winter
2022-07-20,S005,P0010,Toys,North,299,48,44,49.8,11.96,20,Sunny,1,16.83,Autumn
2023-11-08,S005,P0004,Toys,South,88,37,38,38.34,87.42,15,Rainy,0,87.27,Spring
2023-03-01,S005,P0006,Toys,North,356,288,157,306.48,58.54,0,Snowy,0,54.34,Spring
2023-08-17,S005,P0005,Toys,South,68,38,130,50.74,73.19,15,Snowy,0,73.15,Autumn
2023-01-01,S005,P0002,Toys,East,153,126,71,117.84,46.14,0,Rainy,0,42.85,Autumn
2022-10-01,S005,P0005,Toys,South,291,156,72,156.91,26.38,20,Sunny,1,24.95,Winter
2023-12-01,S005,P0016,Toys,East,122,102,120,102.84,33.09,0,Sunny,1,28.88,Winter
2023-05-08,S005,P0004,Toys,South,123,11,142,11.21,13.84,5,Cloudy,1,10.37,Autumn
2022-12-04,S005,P0005,Toys,East,247,170,85,176.65,34.87,20,Cloudy,0,38.79,Winter
2022-03-12,S005,P0004,Toys,East,401,397,150,396.56,74.33,20,Snowy,1,75.46,Summer
2023-02-28,S005,P0006,Toys,North,456,438,73,455.2,72.42,20,Rainy,1,68.59,Autumn
2022-12-31,S005,P0019,Toys,South,290,144,195,155.25,53.42,20,Snowy,0,57.3,Spring
2022-12-03,S005,P0020,Toys,North,205,191,58,205.94,83.22,15,Snowy,0,83.97,Spring
2023-08-13,S005,P0017,Toys,West,264,207,106,204.03,75.25,10,Cloudy,1,73.74,Spring
2023-08-31,S005,P0016,Toys,East,409,157,197,166.11,94.3,0,Rainy,1,95.01,Summer
2022-05-14,S005,P0005,Toys,East,275,86,49,102.91,23.96,5,Sunny,1,20.0,Spring
2022-08-15,S005,P0014,Toys,East,291,239,61,248.93,40.11,0,Cloudy,0,39.56,Winter
2022-05-25,S005,P0001,Toys,North,293,11,179,26.55,24.59,10,Sunny,0,23.0,Winter
2023-09-17,S005,P0014,Toys,West,301,160,55,154.9,17.72,0,Cloudy,0,15.66,Winter
2022-07-17,S005,P0011,Toys,East,156,128,63,134.12,40.68,20,Cloudy,0,36.74,Spring
2023-06-08,S005,P0007,Toys,North,70,33,184,35.55,49.93,15,Cloudy,1,50.19,Summer
2023-12-30,S005,P0015,Toys,South,53,46,77,40.59,83.19,5,Sunny,0,86.05,Autumn
2023-10-27,S005,P0019,Toys,South,123,106,103,119.04,74.18,0,Snowy,0,72.73,Winter
2022-04-19,S005,P0015,Toys,West,99,37,149,32.75,18.58,20,Snowy,1,22.56,Spring
2022-05-03,S005,P0019,Toys,North,352,222,46,223.25,53.14,5,Cloudy,1,51.63,Autumn
2022-01-18,S005,P0006,Toys,North,339,211,135,228.91,85.85,0,Sunny,0,85.77,Winter
2023-04-07,S005,P0013,Toys,West,405,364,113,378.92,91.81,10,Rainy,0,88.09,Spring
2022-06-07,S005,P0003,Toys,North,245,179,67,194.48,54.93,0,Cloudy,0,50.8,Spring
2022-05-07,S005,P0005,Toys,North,294,56,21,54.57,12.1,20,Sunny,1,7.77,Spring
2023-02-10,S005,P0011,Toys,South,278,261,46,275.72,37.72,10,Sunny,1,40.07,Autumn
2023-05-04,S005,P0003,Toys,East,316,38,143,44.81,16.14,15,Rainy,1,12.54,Autumn
2022-12-29,S005,P0015,Toys,South,452,361,180,355.95,73.62,0,Snowy,1,78.12,Summer
2022-09-12,S005,P0013,Toys,South,480,220,102,232.17,71.13,0,Rainy,1,69.55,Winter
2022-10-15,S005,P0010,Toys,West,90,2,53,2.09,10.23,20,Sunny,0,11.9,Spring
2023-01-06,S005,P0019,Toys,North,378,364,58,376.73,64.57,15,Cloudy,1,59.73,Autumn
2023-08-06,S005,P0014,Toys,South,291,150,81,169.33,53.49,20,Sunny,1,54.92,Winter
2023-03-02,S005,P0016,Toys,South,70,46,99,62.37,95.31,20,Sunny,1,99.23,Spring
2022-06-02,S005,P0013,Toys,South,285,86,194,85.05,64.82,20,Rainy,1,61.3,Autumn
2023-09-17,S005,P0001,Toys,South,416,359,124,377.71,92.68,20,Snowy,0,95.55,Summer
2023-12-20,S005,P0008,Toys,West,383,23,70,41.3,96.92,10,Snowy,0,94.76,Summer
2023-08-18,S005,P0004,Toys,North,51,11,33,26.96,19.82,0,Sunny,1,22.36,Summer
2022-04-29,S005,P0005,Toys,East,76,8,23,21.31,29.33,20,Cloudy,0,29.52,Spring
2023-04-13,S005,P0009,Toys,South,149,18,127,20.46,20.74,20,Snowy,1,21.15,Spring
2023-04-13,S005,P0016,Toys,West,455,149,158,147.66,96.01,20,Rainy,0,100.28,Spring
2023-09-19,S005,P0018,Toys,North,183,70,179,62.89,53.24,20,Sunny,0,56.36,Winter
2023-01-13,S005,P0011,Toys,West,342,23,109,26.55,13.65,15,Sunny,0,14.53,Spring
2022-04-19,S005,P0011,Toys,North,495,394,133,405.11,60.58,15,Cloudy,0,63.39,Autumn
2023-10-07,S005,P0013,Toys,East,469,68,150,87.34,11.86,5,Sunny,1,16.11,Winter
2023-01-07,S005,P0012,Toys,South,302,91,158,102.42,89.02,5,Snowy,0,84.77,Summer
2023-04-24,S005,P0007,Toys,West,317,204,148,196.42,50.79,15,Rainy,0,52.14,Autumn
2022-02-11,S005,P0015,Toys,North,422,295,92,312.62,48.26,15,Sunny,0,48.94,Summer
2022-01-13,S005,P0017,Toys,West,437,6,105,21.24,11.54,20,Sunny,1,10.8,Summer
2022-05-28,S005,P0004,Toys,South,291,0,155,10.47,71.23,0,Snowy,0,70.01,Autumn
2022-05-09,S005,P0002,Toys,South,497,254,181,265.02,57.21,10,Snowy,1,61.86,Autumn
2023-08-21,S005,P0014,Toys,West,147,32,93,42.69,95.33,20,Cloudy,1,90.38,Autumn
2022-01-11,S005,P0009,Toys,West,278,168,141,178.08,24.63,20,Rainy,1,27.39,Autumn
2023-12-30,S005,P0010,Toys,East,104,58,174,77.91,82.24,20,Rainy,1,82.08,Autumn
2022-11-12,S005,P0013,Toys,South,245,141,141,144.25,36.67,20,Snowy,0,40.98,Winter
2022-08-02,S005,P0008,Toys,East,333,147,140,154.34,11.84,10,Cloudy,1,14.27,Spring
2022-08-30,S005,P0011,Toys,South,155,92,185,94.51,99.76,5,Sunny,0,100.56,Autumn
